-Infini;+Infini;+Infini;12,76032;115,9609;8,035836
-Infini;+Infini;+Infini;359,5391;121,8284;359,849
-Infini;+Infini;+Infini;359,2188;121,3449;359,8948
-Infini;+Infini;+Infini;359,1689;121,6061;359,9346
-Infini;+Infini;+Infini;359,1192;121,5693;359,9583
-Infini;+Infini;+Infini;359,134;121,6115;359,9611
0,008760001;0,07344;0,2206;359,6542;121,263;0,01161425
0,00873;0,07405;0,22198;359,6464;121,2655;0,00210079
0,00863;0,07466;0,22335;359,6665;121,2652;0,01056167
0,00854;0,07541;0,22466;359,6632;121,274;359,9833
-Infini;+Infini;+Infini;359,6458;121,2655;359,993
0,00845;0,07594001;0,22604;359,639;121,2527;359,9802
0,00837;0,07662001;0,22735;359,6236;121,239;-0,005201007
0,00826;0,07699;0,22877;359,6286;121,2613;359,9853
0,00833;0,07713;0,23029;359,6366;121,2594;-0,002800861
0,00831;0,07757;0,2317;359,6363;121,2605;359,9851
0,00822;0,07844999;0,2329;359,6476;121,254;359,9863
0,00682;0,0569;0,18099;359,6555;121,2571;0,005033273
0,00747;0,06527;0,20253;359,6497;121,267;0,005616989
0,00781;0,0683;0,21128;359,6702;121,2515;0,007151793
0,00882;0,08035;0,24263;359,6498;121,2515;-1,200642E-06
0,008640001;0,07836;0,23756;359,6576;121,2489;0,00728933
0,00833;0,07441001;0,2282;359,6372;121,2466;-0,003903572
0,00757;0,06508999;0,20454;359,6536;121,2517;0,004608341
0,00682;0,05677;0,18338;359,6388;121,2495;0,01087468
0,00678;0,05752;0,1851;359,6479;121,2513;-0,002548456
0,00677;0,0581;0,18687;359,6329;121,2551;359,994
0,00675;0,05897;0,18851;359,6769;121,2581;0,01898843
0,00664;0,0599;0,19009;359,6537;121,263;0,01732286
0,00655;0,06094;0,1916;359,6457;121,2623;0,01108126
0,00641;0,06182;0,19316;359,676;121,2568;0,01922504
0,00643;0,06239;0,19481;359,6241;121,2588;0,008827608
0,00643;0,06289;0,19649;359,6838;121,2686;0,01240516
0,00642;0,06344;0,19813;359,5968;121,259;359,9886
0,0064;0,06406;0,19972;359,6354;121,2626;-0,002537827
0,00642;0,0647;0,20129;359,6204;121,2614;-0,0002893689
0,00646;0,06530999;0,20286;359,6112;121,2602;359,9918
0,00647;0,06594;0,20441;359,6266;121,268;-1,467455E-07
0,00653;0,06661;0,20592;359,6338;121,2603;0,01359054
0,00662;0,06715;0,20748;359,6371;121,2792;359,9876
0,00675;0,06777;0,20899;359,6103;121,2641;0,01238378
0,00679;0,06818;0,21058;359,6199;121,2783;0,002970344
0,0069;0,06866001;0,21212;359,6284;121,2705;0,0009526044
0,00702;0,06915;0,21365;359,4474;121,195;0,02884045
0,00719;0,06965;0,21516;359,8228;121,3342;359,9743
0,00728;0,0702;0,21664;359,6213;121,2696;359,9764
0,00734;0,071;0,21801;359,6286;121,2586;-0,002254891
0,00743;0,07157;0,21946;359,6443;121,2714;359,9749
0,00753;0,07212999;0,22089;359,6311;121,2591;359,993
0,00757;0,07282;0,22225;359,5931;121,2502;359,9821
0,00757;0,07354;0,22359;359,6179;121,2626;0,008168274
0,0076;0,07395;0,22504;359,6412;121,2778;0,002588092
0,00764;0,07457;0,2264;359,6225;121,2925;0,00205313
0,00766;0,07526;0,2277;359,5994;121,2825;0,01564464
0,00774;0,07592;0,22901;359,604;121,2838;4,53578E-07
0,00776;0,07661;0,23028;359,6443;121,2805;359,9904
0,00779;0,07724;0,23158;359,5808;121,2773;0,01863771
0,00775;0,07799;0,23281;359,5926;121,295;-0,001058359
0,00779;0,07867;0,23406;359,6198;121,2726;-0,002415298
0,00788;0,07922;0,23534;359,6091;121,2823;0,007312074
0,00796;0,0798;0,23661;359,5655;121,2961;359,9928
0,00798;0,08071;0,23772;359,5934;121,2804;-0,001113069
0,00807;0,08142;0,23891;359,6267;121,275;359,9771
0,008140001;0,08193;0,24017;359,5995;121,3107;359,984
0,00816;0,0825;0,24139;359,6522;121,2666;0,03180395
0,00822;0,08309;0,24259;359,6393;121,296;0,01975493
0,0084;0,08347;0,24386;359,5836;121,3171;0,005077966
0,008470001;0,08394;0,2451;359,5883;121,2882;359,992
0,00861;0,08415;0,24644;359,5865;121,3003;0,004949375
0,00866;0,08451;0,24771;359,5893;121,2958;359,986
0,00883;0,08462001;0,24909;359,6013;121,297;0,006611196
0,009029999;0,08487;0,25041;359,5719;121,2892;359,9839
0,009149999;0,08538;0,25162;359,5589;121,283;0,01503672
0,00922;0,0858;0,25286;359,5977;121,2696;-0,0009315568
0,00925;0,08632;0,25405;359,595;121,2655;0,01219065
0,009409999;0,08661;0,25533;359,5736;121,2892;359,9886
0,00947;0,0868;0,25666;359,5916;121,2647;-0,005198841
0,009529999;0,08719;0,25789;359,5644;121,2797;-0,0008842149
0,009520001;0,08792;0,25899;359,5559;121,2561;-0,005462621
0,0096;0,08845;0,26016;359,5688;121,2849;-0,001846284
0,009640001;0,08928;0,2612;359,5856;121,2605;359,9879
0,00958;0,09006;0,26224;359,5526;121,2655;0,002686814
0,009550001;0,09061;0,26337;359,5836;121,254;359,976
0,009649999;0,09124;0,26445;359,5585;121,2729;0,004508445
0,0077;0,06224;0,1936;359,5921;121,2585;0,004476929
0,00788;0,0639;0,19755;359,3543;121,1706;0,02465273
0,00825;0,06896;0,2094;359,5849;121,2699;0,006458153
0,00842;0,06943;0,21104;359,7206;121,2933;0,004035583
0,008479999;0,06917;0,21061;359,5474;121,2745;0,001610107
0,008649999;0,07151;0,21654;359,5687;121,2534;0,007347357
0,00801;0,06384;0,19794;359,5505;121,2434;0,007783773
0,00765;0,05878;0,18611;359,5265;121,2366;0,01665266
0,00784;0,06067;0,19085;359,4146;121,1958;359,9941
0,00759;0,05694;0,18184;359,5634;121,246;0,002969564
0,00767;0,0577;0,18352;359,5401;121,243;-0,0001267495
0,00766;0,05812;0,18533;359,5468;121,2411;-0,001008045
0,0077;0,05873;0,18704;359,5732;121,2512;359,9841
0,00773;0,05951;0,18867;359,5184;121,2374;-0,001661342
0,00775;0,06051;0,19018;359,5789;121,2565;-0,004290448
0,00762;0,06175;0,19157;359,534;121,2397;0,01599765
