-Infini;+Infini;+Infini;359,2144;121,9052;-2,134635E-07
-Infini;+Infini;+Infini;359,1628;121,61;-8,004981E-08
-Infini;+Infini;+Infini;359,1271;121,6339;-4,536199E-07
-Infini;+Infini;+Infini;359,1294;121,631;3,468855E-07
-Infini;+Infini;+Infini;359,1356;121,6293;-1,334173E-07
-Infini;+Infini;+Infini;359,1349;121,6277;-1,067339E-07
0,00719;0,06965;0,21516;359,6256;121,2678;-3,468529E-07
0,00728;0,0702;0,21664;359,6226;121,269;-5,336202E-07
0,00734;0,071;0,21801;359,6235;121,271;-3,735341E-07
0,00743;0,07157;0,21946;359,6202;121,2713;-2,001076E-07
0,00753;0,07212999;0,22089;359,6185;121,2743;2,934912E-07
0,00757;0,07282;0,22225;359,6115;121,2781;6,270043E-07
0,00757;0,07354;0,22359;359,61;121,2808;2,001079E-07
0,0076;0,07395;0,22504;359,6082;121,2841;6,670262E-08
0,00764;0,07457;0,2264;359,6051;121,2841;5,336212E-08
0,00766;0,07526;0,2277;359,604;121,2838;4,53578E-07
0,00774;0,07592;0,22901;359,604;121,2838;4,53578E-07
0,00776;0,07661;0,23028;359,6007;121,2867;2,001081E-07
0,00779;0,07724;0,23158;359,6019;121,2865;2,801513E-07
0,00775;0,07799;0,23281;359,6013;121,2901;1,027221E-06
0,00779;0,07867;0,23406;359,6006;121,2944;7,4707E-07
0,00788;0,07922;0,23534;359,6011;121,2972;6,670268E-08
0,00796;0,0798;0,23661;359,6013;121,2968;4,402377E-07
0,00798;0,08071;0,23772;359,6043;121,2967;4,002159E-08
0,00807;0,08142;0,23891;359,6004;121,2955;-3,335134E-07
0,008140001;0,08193;0,24017;359,5992;121,2974;6,803675E-07
0,00816;0,0825;0,24139;359,5941;121,2977;9,338384E-07
0,00822;0,08309;0,24259;359,5891;121,2953;-5,736439E-07
0,0084;0,08347;0,24386;359,5879;121,2933;4,53579E-07
0,008470001;0,08394;0,2451;359,585;121,2917;-6,136659E-07
0,00861;0,08415;0,24644;359,5857;121,2895;7,737526E-07
0,00866;0,08451;0,24771;359,5819;121,2861;-1,200651E-07
0,00883;0,08462001;0,24909;359,5804;121,2824;-3,868766E-07
0,009029999;0,08487;0,25041;359,5776;121,2804;-6,670288E-08
0,009149999;0,08538;0,25162;359,5775;121,2791;-4,002173E-08
0,00922;0,0858;0,25286;359,5736;121,277;-1,200652E-07
0,00925;0,08632;0,25405;359,5682;121,2734;2,93493E-07
0,009409999;0,08661;0,25533;359,5693;121,273;-3,068335E-07
0,00947;0,0868;0,25666;359,5659;121,2706;3,068337E-07
0,009529999;0,08719;0,25789;359,5657;121,268;7,203922E-07
0,009520001;0,08792;0,25899;359,5629;121,2644;-3,201744E-07
0,0096;0,08845;0,26016;359,5636;121,2626;-1,734278E-07
0,009640001;0,08928;0,2612;359,5612;121,2591;-9,205017E-07
0,00958;0,09006;0,26224;359,5593;121,2525;9,338425E-08
0,009550001;0,09061;0,26337;359,5599;121,2525;-6,670303E-08
0,009649999;0,09124;0,26445;359,5611;121,2511;3,201745E-07
0,0077;0,06224;0,1936;359,5599;121,249;8,004364E-08
0,00788;0,0639;0,19755;359,5615;121,2479;6,536895E-07
0,00825;0,06896;0,2094;359,563;121,2473;-5,33624E-07
0,00842;0,06943;0,21104;359,5562;121,2441;4,535809E-07
0,008479999;0,06917;0,21061;359,5554;121,2439;2,001092E-07
0,008649999;0,07151;0,21654;359,5533;121,2453;-3,735373E-07
0,00801;0,06384;0,19794;359,5533;121,2466;1,334062E-08
0,00765;0,05878;0,18611;359,5497;121,2454;9,338438E-08
0,00784;0,06067;0,19085;359,5555;121,2503;0
0,00759;0,05694;0,18184;359,5552;121,2509;-4,002185E-08
0,00767;0,0577;0,18352;359,5503;121,2484;2,668125E-07
